company_name,domain,country_code,state_code,region,city,status,short_description,category_list,funding_rounds, funding_total_usd ,founded_on,first_funding_on,last_funding_on,closed_on,email,phone,cb_url,twitter_url,facebook_url,uuid
Property Partner,propertypartner.co,GBR,,London,London,operating,Property Partner combines residential real estate crowdfunding with a secondary exchange upon which investors can trade their holdings,Financial Services|Real Estate,3," 32,356,606 ",2014-01-01,2014-09-08,2016-03-07,,hello@propertypartner.co,'+4402036965600,https://www.crunchbase.com/organization/property-partner,https://www.twitter.com/prop_partner,http://www.facebook.com/proppartner,a2fd3dfe-40c0-3e74-3b2f-44d4f6b8db58
QingCloud,qingcloud.com,CHN,,Beijing,Beijing,operating,QingCloud is a cloud computing platform that provides IaaS-based flexible cloud services.,Cloud Computing|Web Hosting,2," 120,000,000 ",,2014-01-01,2016-03-07,,contactus@yunify.com,,https://www.crunchbase.com/organization/qingcloud,,,1d018c0a-368e-830b-e0c3-95812f205367
Repro,repro.io,JPN,,Tokyo,Tokyo,operating,Mobile analytics for growth,Software,2," 3,436,000 ",2014-04-01,2015-04-22,2016-03-07,,,,https://www.crunchbase.com/organization/repro,https://www.twitter.com/reproio,https://www.facebook.com/reproio,c938bd84-20bd-9ab4-441e-ead2c6d88bef
Siva Power,sivapower.com,USA,CA,SF Bay Area,San Jose,operating,Siva Power develops third generation thin film PV technologies.,,9," 120,000,000 ",2006-01-01,2007-08-30,2016-03-07,,,,https://www.crunchbase.com/organization/solexant,,,459dffea-9cc7-36b6-4103-1bb017905f94
STAFF FINDER,staff-finder.jobs,CHE,,Zurich,Zürich,operating,Temporary employees in the right place at the right time.,Recruiting,1," 21,981,001 ",2011-01-01,2016-03-07,2016-03-07,,info@staff-finder.jobs,'+41445545000,https://www.crunchbase.com/organization/staff-finder,https://www.twitter.com/stafffinder_ch,http://www.facebook.com/stafffinder,d32f05a6-3e8f-71a9-45b0-f3e8432b5e15
Tiqets,tiqets.com,NLD,,Amsterdam,Amsterdam,operating,"Tiqets allows travelers and travel companies to book tickets to attractions, musea, tours and more. Instant delivery, Mobile entrance.",Travel,3," 5,450,000 ",2013-01-01,2013-12-11,2016-03-07,,luuc@tiqets.com,,https://www.crunchbase.com/organization/tiqets,https://www.twitter.com/tiqets,http://www.facebook.com/tiqets,969dbfd2-2342-e6d3-2e04-d18174503921
United Wind,unitedwind.com,USA,NY,New York City,Brooklyn,operating,SolarCity for wind,Solar,4," 210,505,000 ",2013-01-01,2014-03-01,2016-03-07,,,'+118002689896,https://www.crunchbase.com/organization/united-wind,https://www.twitter.com/united_wind,https://www.facebook.com/unitedwind/?fref=nf,e9b9192f-d133-f9b7-b4d5-df3cf571fba0
Zaloni,zaloni.com,USA,NC,Raleigh,Durham,operating,Enterprise Data Lake Management Software & Services,Analytics|Big Data|Data Integration|Enterprise Software,1," 7,500,000 ",2007-01-01,2016-03-07,2016-03-07,,kschupp@zaloni.com,,https://www.crunchbase.com/organization/zaloni,https://www.twitter.com/zaloni,http://www.facebook.com/pages/zaloni/131938830174886,2a41d009-fc42-95ad-6eaa-a22dd922a202
AlphaSense,alpha-sense.com,USA,CA,SF Bay Area,San Francisco,operating,AlphaSense is a smart Financial Search Engine that provides sophisticated semantic analytics to give you an unprecedented information edge,Finance|FinTech|Search,1," 33,000,000 ",2008-01-01,2016-03-06,2016-03-06,,,,https://www.crunchbase.com/organization/alphasense,https://www.twitter.com/AlphaSenseInc,,952a1924-e54d-db73-b979-4badd89df946
AYLIEN,aylien.com,IRL,,Dublin,Dublin,operating,"AYLIEN is an Artificial Intelligence startup, focused on creating technologies that help machines understand humans better.",Big Data|Blogging Platforms|Natural Language Processing|News|Semantic Web|Software,5," 1,137,262 ",2011-01-01,2010-12-17,2016-03-06,,hello@aylien.com,,https://www.crunchbase.com/organization/aylien,https://www.twitter.com/_aylien,http://www.facebook.com/aylieninc,261791ff-c31a-a5fc-06a2-5ba21071b95a
LightSail Education,lightsailed.com,USA,NY,New York City,New York,operating,"Award-winning K-12 literacy solution featuring 80,000 engaging books, in-text assessments, and instant, actionable data",EdTech|Education,3," 23,192,266 ",2012-05-01,2014-10-30,2016-03-05,,gideon@lightsailed.com,(646) 271-4886,https://www.crunchbase.com/organization/lightsail-education,https://www.twitter.com/lightsailed,http://www.facebook.com/LightSail-Education/10060370012727,0d4f8677-2c0c-0a81-a8d1-ce35ff447bc7
WorkHere,workhere.com,USA,IN,Indianapolis,Indianapolis,operating,WorkHere is a mobile and web app that helps workers find jobs now and builds a hyper local talent pipeline for employers.,Mobile,2," 2,254,100 ",2015-06-01,2015-11-17,2016-03-04,,info@workhere.com,(317)506-7830,https://www.crunchbase.com/organization/work-here,https://www.twitter.com/workhereapp,https://www.facebook.com/WorkHereCom/,416d6242-c53b-c7c2-e245-5b0ca2bd7d9a
ABC360,global.abc360.com,PHL,,PHL - Other,Baguio City,operating,ABC360 aims to become the best and largest leading professional online English lesson,Education,1," 15,300,000 ",,2016-03-03,2016-03-03,,,'+09175036393,https://www.crunchbase.com/organization/abc360,,,174009ad-b38e-8b0a-7fa9-671d9b707d97
Africa Internet Group,africainternetholding.com,NGA,,Lagos,Lagos,operating,The Africa Internet Group introduces and accelerates the online shift in Africa.,E-Commerce|Internet,1," 326,286,748 ",2012-01-01,2016-03-03,2016-03-03,,press@africainternetholding.com,,https://www.crunchbase.com/organization/africa-internet-group,https://www.twitter.com/Africa_IG,http://www.facebook.com/africainternetgroup,728c95ee-b399-f640-fa93-d5f003c7b5a6
Evertoon,evertoon.com,USA,CA,SF Bay Area,San Francisco,operating,Evertoon makes it easy to tell your story.,Apps|Mobile|Software,1," 1,700,000 ",2014-01-01,2016-03-03,2016-03-03,,,,https://www.crunchbase.com/organization/evertoon,https://www.twitter.com/evertoon,https://www.facebook.com/evertoonapp/,16383cc9-fdfa-77db-1c2b-f7e2574d3082
figo,figo.io,DEU,,Hamburg,Hamburg,operating,"Banking API: Partners can connect to every financial service provider (banks, credit cards, e-wallets, ...) through one single REST-API!",Banking|Credit Cards|Developer APIs|Finance|FinTech|Personal Finance,3," 4,778,660 ",2012-08-01,2012-12-10,2016-03-03,,contact@figo.me,'+04022821271,https://www.crunchbase.com/organization/figo,https://www.twitter.com/figoapi,https://www.facebook.com/figoAPI,1aa7bf40-24c3-3133-4539-35f6f27d3ac7
"ICX Media, Inc.",icxmedia.com,USA,DC,"Washington, D.C.",Washington,operating,Data analytics platform and marketplace for independent content creators and media companies,Content,1," 2,500,000 ",2015-04-23,2016-03-03,2016-03-03,,info@icxmedia.com,(202)688-5943,https://www.crunchbase.com/organization/icx-media-inc,https://www.twitter.com/icx_media,https://www.facebook.com/icxmedia/,7dd54281-a976-f10c-5fc8-357dceddcf85
KATVR,katvr.com,,,,,operating,KAT WALK is a new omni directional treadmill input device that captures real world movement and maps it into virtual reality.,Virtual Reality,1," 1,000,000 ",,2016-03-03,2016-03-03,,info@katvr.com,,https://www.crunchbase.com/organization/katvr,https://www.twitter.com/katvrwalk,https://www.facebook.com/katvrwalk,36b3beae-e7d5-4384-97c3-09c725f944ec
Mapillary,mapillary.com,SWE,,Malmo,Malmö,operating,Create streetview using your phone.,Crowdsourcing|Mobile,2," 9,500,000 ",2013-01-01,2015-01-15,2016-03-03,,,,https://www.crunchbase.com/organization/mapillary,https://www.twitter.com/mapillary,http://www.facebook.com/mapillary,673ed588-4db7-04e3-a63b-51f83205ce02
Medlanes,medlanes.com,DEU,,Berlin,Berlin,operating,Medlanes brings medicine to the internet.,Health Care|Medical,3,,2013-12-11,2013-11-11,2016-03-03,,info@medlanes.com,'+493057700420,https://www.crunchbase.com/organization/medlanes,https://www.twitter.com/Medlanes,http://www.facebook.com/pages/Medlanes/1385770338356711,2f7c7f20-b850-ee82-d3de-5bc8ff195282
Oro Inc.,orocrm.com,USA,CA,Los Angeles,Los Angeles,operating,"Open Source Tools for Businesses (CRM, B2B eCommerce)",B2B|CRM|E-Commerce|Enterprise Software|Open Source|Software,1," 12,000,000 ",2012-10-21,2016-03-03,2016-03-03,,info@orocrm.com,,https://www.crunchbase.com/organization/oro,https://www.twitter.com/OroCRM,http://www.facebook.com/pages/Oro-CRM/428986860505229,b667f47f-c810-7714-b6aa-c34ab3c8d1c2
Roofstock,roofstock.com,USA,CA,SF Bay Area,Oakland,operating,Roofstock is a enabling investors,Real Estate,2," 13,250,000 ",2015-01-01,2015-07-24,2016-03-03,,info@roofstock.com,(510)269-9400,https://www.crunchbase.com/organization/roofstock,https://www.twitter.com/roofstock,https://www.facebook.com/Roofstock,ca6ddb63-7ac2-48f2-a154-67717e1c7960
Snapchat,snapchat.com,USA,CA,CA - Other,Pacific Palisades,operating,"Snapchat is a photo messaging app that allows users to take photos, record videos, add text and drawings, and send them to recipients.",File Sharing|Messaging|Mobile|Photography,9," 1,360,585,000 ",2011-05-01,2012-05-01,2016-03-03,,support@snapchat.com,,https://www.crunchbase.com/organization/snapchat,https://www.twitter.com/Snapchat,http://www.facebook.com/snapchat,e6178a34-5054-6449-8d77-5c28702d0dab
Staffjoy,staffjoy.com,USA,CA,SF Bay Area,San Francisco,operating,Automated Workforce Scheduling,Artificial Intelligence|SaaS,2," 12,000 ",2015-01-01,2015-10-22,2016-03-03,,help@staffjoy.com,,https://www.crunchbase.com/organization/staffjoy,https://www.twitter.com/staffjoy,https://www.facebook.com/staffjoyapp?_rdr=p,634d7059-f7b6-4b29-c044-9825a71be8a4
Wrap Media,wrap.co,USA,CA,SF Bay Area,Larkspur,operating,"Wrap is the mobile, web based native app alternative that delivers app-like experiences in bite size pieces that get and hold attention.",Content,3," 20,200,000 ",2014-01-01,2015-04-14,2016-03-03,,info@wrap.co,(415)633-7977,https://www.crunchbase.com/organization/wrap-media,https://www.twitter.com/Wrap_Media,https://www.facebook.com/pages/Wrap-Media/1497081557237426,081862db-740f-741e-efac-c34b1f172c20
Augment,augment.com,FRA,,Paris,Paris,operating,Augment is an augmented reality platform that allows users to visualize 3D models in real time and the real environment at scale.,Augmented Reality|E-Commerce|Mobile,4," 4,800,000 ",2011-10-01,2012-05-01,2016-03-02,,contact@agmt.co,,https://www.crunchbase.com/organization/augment,https://www.twitter.com/augmentedev,http://www.facebook.com/AugmenteDev/190277567680189,07aa358a-7d80-f3ba-a2fd-ba835cac52c9
Blippar,blippar.com,USA,NY,New York City,New York,operating,Blippar is the world’s leading image-recognition platform and visual browser for mobile targeted specifically at customer-brand interaction.,Advertising|Augmented Reality|Computer Vision|Education|Image Recognition|Mobile|Wearables,3," 99,000,000 ",2011-08-17,2012-01-03,2016-03-02,,info@blippar.com,,https://www.crunchbase.com/organization/blippar,https://www.twitter.com/blippar,http://www.facebook.com/blippar,06f6c176-35cf-acdf-171e-240d23bc5fac
Carsome,carsome.my,MYS,,Kuala Lumpur,Kuala Lumpur,operating,Carsome is an online platform which provides a one stop solution when purchasing or selling cars. It connects potential car buyers directly,Automotive|Shopping,2," 2,350,000 ",2015-02-01,2015-08-24,2016-03-02,,info@carsome.my,'+60374992823,https://www.crunchbase.com/organization/carsome,https://www.twitter.com/carsomemy,https://www.facebook.com/CarSome.my/info?tab=overview,1bdf2ff7-23ef-da61-ff51-cfb2eb9feea0
Eight,eightsleep.com,USA,NY,New York City,New York,operating,The smart bed cover for a better night's sleep,Health Care|Internet of Things,2," 6,620,000 ",2014-07-01,2014-10-01,2016-03-02,,,,https://www.crunchbase.com/organization/morphy,https://www.twitter.com/eightsleep,,76946681-30f5-2e34-dc63-6363cc7628d6
GoTenna,gotenna.com,USA,NY,New York City,Brooklyn,operating,GoTenna is a new device that pairs with your smartphone and lets you communicate with others even when you don't have service.,Consumer Electronics|Hardware|Messaging|Mobile|Privacy|Software,2," 9,300,000 ",2012-11-01,2013-12-04,2016-03-02,,hi@gotenna.com,,https://www.crunchbase.com/organization/gotenna,https://www.twitter.com/gotenna,http://www.facebook.com/goTennaInc,be5128c1-4e0e-84b7-1e71-8c0ddbfb4f1a
Influitive,influitive.com,CAN,ON,Toronto,Toronto,operating,"Influitive’s marketing software helps B2B co.'s discover, mobilize & recognize their advocates, driving referrals, references, reviews,etc.",Communities|Marketing Automation|Social CRM|Social Media Marketing,5," 49,789,001 ",2010-10-01,2012-08-09,2016-03-02,,info@influitive.com,(647) 931-4014,https://www.crunchbase.com/organization/influitive,https://www.twitter.com/influitive,http://www.facebook.com/Influitive,08e88d9f-905a-0a4c-d15b-bb61353fd815
Jabong.com,jabong.com,IND,,New Delhi,Gurgaon,ipo,Leading Fashion Portal in India.,Beauty|E-Commerce|Fashion|Jewelry|Shoes|Toys,2," 47,500,000 ",2012-01-01,2014-02-05,2016-03-02,,care@jabong.com,,https://www.crunchbase.com/organization/jabong,https://www.twitter.com/jabongindia,http://www.facebook.com/myjabong,ea266877-2686-1fd9-e8ad-71b70846afc0
Jobbatical,jobbatical.com,EST,,Tallinn,Tallinn,operating,connecting tech and business talent to short term gigs in exciting cities around the world.,,3," 2,902,242 ",2014-03-04,2014-10-30,2016-03-02,,hello@jobbatical.com,,https://www.crunchbase.com/organization/jobbatical,https://www.twitter.com/jobbatical,http://www.facebook.com/jobbatical,ffc94591-af96-3e79-b0ec-f5d313e7d7de
LOLA,mylola.com,USA,NY,New York City,New York,operating,LOLA is a modern approach to feminine care,,2," 4,200,000 ",2014-01-01,2015-07-08,2016-03-02,,help@mylola.com,,https://www.crunchbase.com/organization/lola,https://www.twitter.com/mylolatweet,https://www.facebook.com/mylolaishere/info?tab=page_info,e361ccb8-be31-6d44-dac7-09bbb109e3c0
PawnHero,pawnhero.ph,PHL,,Manila,Manila,operating,PawnHero – the 1st online pawnshop in the Philippines.,Financial Services,1,,2014-01-01,2016-03-02,2016-03-02,,customer@pawnhero.ph,'+09176834376,https://www.crunchbase.com/organization/pawnhero,https://www.twitter.com/PawnHeroPH,https://www.facebook.com/PawnHero.ph,4f826aee-5c18-c645-9651-97d30855bb39
Auxmoney,auxmoney.com,DEU,,Dusseldrof,Düsseldorf,operating,Auxmoney is an online peer-to-peer loan marketplace.,Finance,4," 198,177,363 ",2007-01-01,2013-03-12,2016-03-01,,info@auxmoney.com,'+4921154243222,https://www.crunchbase.com/organization/auxmoney,https://www.twitter.com/auxmoney,http://www.facebook.com/auxmoney,90fe860c-0906-4c9e-84bd-f1db6142718c
HealthKit,healthkit.com,AUS,,Melbourne,Melbourne,operating,"HealthKit - Changing health for everyone, everywhere",Information Technology,1," 1,600,000 ",,2016-03-01,2016-03-01,,,,https://www.crunchbase.com/organization/healthkit,https://www.twitter.com/healthkit,,473d388d-2e5c-409f-4076-d621ede88c35
Mercari,mercariapp.com,JPN,,Tokyo,Tokyo,operating,"Mercari is the biggest community-powered shopping app from Japan, for anyone to buy and sell anything, from anywhere, in seconds.",E-Commerce|Mobile,5," 116,600,000 ",2013-02-01,2013-07-24,2016-03-01,,contact@mercariapp.com,,https://www.crunchbase.com/organization/mercari,https://www.twitter.com/Mercari_app,http://www.facebook.com/MercariApp,54cffd0b-01b1-d466-fff7-de8bc74f85d2
Replay Technologies,replay-technologies.com,USA,CA,SF Bay Area,Newark,acquired,Replay Technologies Inc. develops video 3D reconstruction technologies.,3D Technology|Software,5," 30,500,000 ",2011-01-01,2014-02-27,2016-03-01,,sales@replay-technologies.com,,https://www.crunchbase.com/organization/replay-technologies,https://www.twitter.com/freeDtechno,http://www.facebook.com/freedtechno,655788ed-9b4f-105b-b768-8f4f889b4830
WellDoc,welldoc.com,USA,MD,Baltimore,Baltimore,operating,WellDoc is a health care technology company that develops solutions to transform the management of chronic disease.,Health Care|Medical|Real Time,7," 55,152,027 ",2005-03-01,2009-03-20,2016-03-01,,,(443) 692-3100,https://www.crunchbase.com/organization/welldoc,https://www.twitter.com/welldoc,http://www.facebook.com/pages/WellDoc/151865238334549,b64e1871-3fd0-fa59-8eb5-9f561e90408c
,,,,,,,,,,,,,,,,,,,,
Want access to additional data from CrunchBase? Upgrade to the full version now.,,,,,,,,,,,,,,,,,,,,
